PartitionKey,RowKey,alertTimestamp,anomalyTimestamp,cloudReceivedTimestamp,deviceId,deviceType,edgeAnomalyType,edgeDetectionJson,edgeIsAnomaly,edgeReceivedTimestamp,experimentId,filteredTimestamp,groundTruthJson,iotHubEnqueuedTimestamp,messageType,normalizedTimestamp,originDeviceId,originModuleId,payloadJson,runId,scenario,sensorTimestamp,sequence
budgeted_800k_s0_s1_s2|S2_HYBRID|s2_90_delay_200_rep2_full_20260504_013601,alert|edge-gateway-b-ubuntu|local-alert-service|compressor-002|000000000052|138566,2026-05-04T01:38:33.592735Z,2026-05-04T01:38:33.579692Z,2026-05-04T01:38:42.763664Z,compressor-002,compressor,pressure_instability,"{""anomalyType"":""pressure_instability"",""isAnomaly"":true,""matchedRules"":[""compressor.pressure_instability""],""score"":0.84,""severity"":""warning""}",True,2026-05-04T01:38:33.187495Z,budgeted_800k_s0_s1_s2,2026-05-04T01:38:33.569948Z,"{""anomalyType"":""pressure_instability"",""isAnomaly"":true}",2026-05-04T01:38:34.291,alert,2026-05-04T01:38:33.263857Z,edge-gateway-b-ubuntu,local-alert-service,"{""alertTimestamp"":""2026-05-04T01:38:33.592735Z"",""anomalyTimestamp"":""2026-05-04T01:38:33.579692Z"",""cloudReceivedTimestamp"":""2026-05-04T01:38:42.763664Z"",""deviceId"":""compressor-002"",""deviceType"":""compressor"",""edgeDetection"":{""anomalyType"":""pressure_instability"",""isAnomaly"":true,""matchedRules"":[""compressor.pressure_instability""],""score"":0.84,""severity"":""warning""},""edgeReceivedTimestamp"":""2026-05-04T01:38:33.187495Z"",""experimentId"":""budgeted_800k_s0_s1_s2"",""filteredTimestamp"":""2026-05-04T01:38:33.569948Z"",""groundTruth"":{""anomalyType"":""pressure_instability"",""isAnomaly"":true},""messageType"":""alert"",""normalizedTimestamp"":""2026-05-04T01:38:33.263857Z"",""runId"":""s2_90_delay_200_rep2_full_20260504_013601"",""scenario"":""S2_HYBRID"",""sensorTimestamp"":""2026-01-01T00:00:57.733333Z"",""sequence"":52}",s2_90_delay_200_rep2_full_20260504_013601,S2_HYBRID,2026-01-01T00:00:57.733333Z,52
budgeted_800k_s0_s1_s2|S2_HYBRID|s2_90_delay_200_rep2_full_20260504_013601,alert|edge-gateway-b-ubuntu|local-alert-service|conveyor-009|000000000046|138482,2026-05-04T01:38:26.656789Z,2026-05-04T01:38:26.609585Z,2026-05-04T01:38:40.636559Z,conveyor-009,conveyor,jam,"{""anomalyType"":""jam"",""isAnomaly"":true,""matchedRules"":[""conveyor.jam""],""score"":0.91,""severity"":""critical""}",True,2026-05-04T01:38:26.285139Z,budgeted_800k_s0_s1_s2,2026-05-04T01:38:26.601493Z,"{""anomalyType"":""jam"",""isAnomaly"":true}",2026-05-04T01:38:27.076,alert,2026-05-04T01:38:26.324473Z,edge-gateway-b-ubuntu,local-alert-service,"{""alertTimestamp"":""2026-05-04T01:38:26.656789Z"",""anomalyTimestamp"":""2026-05-04T01:38:26.609585Z"",""cloudReceivedTimestamp"":""2026-05-04T01:38:40.636559Z"",""deviceId"":""conveyor-009"",""deviceType"":""conveyor"",""edgeDetection"":{""anomalyType"":""jam"",""isAnomaly"":true,""matchedRules"":[""conveyor.jam""],""score"":0.91,""severity"":""critical""},""edgeReceivedTimestamp"":""2026-05-04T01:38:26.285139Z"",""experimentId"":""budgeted_800k_s0_s1_s2"",""filteredTimestamp"":""2026-05-04T01:38:26.601493Z"",""groundTruth"":{""anomalyType"":""jam"",""isAnomaly"":true},""messageType"":""alert"",""normalizedTimestamp"":""2026-05-04T01:38:26.324473Z"",""runId"":""s2_90_delay_200_rep2_full_20260504_013601"",""scenario"":""S2_HYBRID"",""sensorTimestamp"":""2026-01-01T00:00:50.811111Z"",""sequence"":46}",s2_90_delay_200_rep2_full_20260504_013601,S2_HYBRID,2026-01-01T00:00:50.811111Z,46
budgeted_800k_s0_s1_s2|S2_HYBRID|s2_90_delay_200_rep2_full_20260504_013601,alert|edge-gateway-b-ubuntu|local-alert-service|conveyor-009|000000000047|138496,2026-05-04T01:38:27.843266Z,2026-05-04T01:38:27.828048Z,2026-05-04T01:38:41.024596Z,conveyor-009,conveyor,jam,"{""anomalyType"":""jam"",""isAnomaly"":true,""matchedRules"":[""conveyor.jam""],""score"":0.91,""severity"":""critical""}",True,2026-05-04T01:38:27.387423Z,budgeted_800k_s0_s1_s2,2026-05-04T01:38:27.821968Z,"{""anomalyType"":""jam"",""isAnomaly"":true}",2026-05-04T01:38:28.423,alert,2026-05-04T01:38:27.398644Z,edge-gateway-b-ubuntu,local-alert-service,"{""alertTimestamp"":""2026-05-04T01:38:27.843266Z"",""anomalyTimestamp"":""2026-05-04T01:38:27.828048Z"",""cloudReceivedTimestamp"":""2026-05-04T01:38:41.024596Z"",""deviceId"":""conveyor-009"",""deviceType"":""conveyor"",""edgeDetection"":{""anomalyType"":""jam"",""isAnomaly"":true,""matchedRules"":[""conveyor.jam""],""score"":0.91,""severity"":""critical""},""edgeReceivedTimestamp"":""2026-05-04T01:38:27.387423Z"",""experimentId"":""budgeted_800k_s0_s1_s2"",""filteredTimestamp"":""2026-05-04T01:38:27.821968Z"",""groundTruth"":{""anomalyType"":""jam"",""isAnomaly"":true},""messageType"":""alert"",""normalizedTimestamp"":""2026-05-04T01:38:27.398644Z"",""runId"":""s2_90_delay_200_rep2_full_20260504_013601"",""scenario"":""S2_HYBRID"",""sensorTimestamp"":""2026-01-01T00:00:51.922222Z"",""sequence"":47}",s2_90_delay_200_rep2_full_20260504_013601,S2_HYBRID,2026-01-01T00:00:51.922222Z,47
budgeted_800k_s0_s1_s2|S2_HYBRID|s2_90_delay_200_rep2_full_20260504_013601,alert|edge-gateway-b-ubuntu|local-alert-service|conveyor-009|000000000048|138510,2026-05-04T01:38:28.987875Z,2026-05-04T01:38:28.959749Z,2026-05-04T01:38:41.354695Z,conveyor-009,conveyor,jam,"{""anomalyType"":""jam"",""isAnomaly"":true,""matchedRules"":[""conveyor.jam""],""score"":0.91,""severity"":""critical""}",True,2026-05-04T01:38:28.494263Z,budgeted_800k_s0_s1_s2,2026-05-04T01:38:28.915181Z,"{""anomalyType"":""jam"",""isAnomaly"":true}",2026-05-04T01:38:29.799,alert,2026-05-04T01:38:28.502356Z,edge-gateway-b-ubuntu,local-alert-service,"{""alertTimestamp"":""2026-05-04T01:38:28.987875Z"",""anomalyTimestamp"":""2026-05-04T01:38:28.959749Z"",""cloudReceivedTimestamp"":""2026-05-04T01:38:41.354695Z"",""deviceId"":""conveyor-009"",""deviceType"":""conveyor"",""edgeDetection"":{""anomalyType"":""jam"",""isAnomaly"":true,""matchedRules"":[""conveyor.jam""],""score"":0.91,""severity"":""critical""},""edgeReceivedTimestamp"":""2026-05-04T01:38:28.494263Z"",""experimentId"":""budgeted_800k_s0_s1_s2"",""filteredTimestamp"":""2026-05-04T01:38:28.915181Z"",""groundTruth"":{""anomalyType"":""jam"",""isAnomaly"":true},""messageType"":""alert"",""normalizedTimestamp"":""2026-05-04T01:38:28.502356Z"",""runId"":""s2_90_delay_200_rep2_full_20260504_013601"",""scenario"":""S2_HYBRID"",""sensorTimestamp"":""2026-01-01T00:00:53.033333Z"",""sequence"":48}",s2_90_delay_200_rep2_full_20260504_013601,S2_HYBRID,2026-01-01T00:00:53.033333Z,48
budgeted_800k_s0_s1_s2|S2_HYBRID|s2_90_delay_200_rep2_full_20260504_013601,alert|edge-gateway-b-ubuntu|local-alert-service|conveyor-009|000000000049|138523,2026-05-04T01:38:30.122811Z,2026-05-04T01:38:30.101160Z,2026-05-04T01:38:41.682868Z,conveyor-009,conveyor,jam,"{""anomalyType"":""jam"",""isAnomaly"":true,""matchedRules"":[""conveyor.jam""],""score"":0.91,""severity"":""critical""}",True,2026-05-04T01:38:29.621947Z,budgeted_800k_s0_s1_s2,2026-05-04T01:38:30.087716Z,"{""anomalyType"":""jam"",""isAnomaly"":true}",2026-05-04T01:38:30.846,alert,2026-05-04T01:38:29.626503Z,edge-gateway-b-ubuntu,local-alert-service,"{""alertTimestamp"":""2026-05-04T01:38:30.122811Z"",""anomalyTimestamp"":""2026-05-04T01:38:30.101160Z"",""cloudReceivedTimestamp"":""2026-05-04T01:38:41.682868Z"",""deviceId"":""conveyor-009"",""deviceType"":""conveyor"",""edgeDetection"":{""anomalyType"":""jam"",""isAnomaly"":true,""matchedRules"":[""conveyor.jam""],""score"":0.91,""severity"":""critical""},""edgeReceivedTimestamp"":""2026-05-04T01:38:29.621947Z"",""experimentId"":""budgeted_800k_s0_s1_s2"",""filteredTimestamp"":""2026-05-04T01:38:30.087716Z"",""groundTruth"":{""anomalyType"":""jam"",""isAnomaly"":true},""messageType"":""alert"",""normalizedTimestamp"":""2026-05-04T01:38:29.626503Z"",""runId"":""s2_90_delay_200_rep2_full_20260504_013601"",""scenario"":""S2_HYBRID"",""sensorTimestamp"":""2026-01-01T00:00:54.144444Z"",""sequence"":49}",s2_90_delay_200_rep2_full_20260504_013601,S2_HYBRID,2026-01-01T00:00:54.144444Z,49
budgeted_800k_s0_s1_s2|S2_HYBRID|s2_90_delay_200_rep2_full_20260504_013601,alert|edge-gateway-b-ubuntu|local-alert-service|conveyor-009|000000000050|138525,2026-05-04T01:38:31.116254Z,2026-05-04T01:38:31.051094Z,2026-05-04T01:38:41.724329Z,conveyor-009,conveyor,jam,"{""anomalyType"":""jam"",""isAnomaly"":true,""matchedRules"":[""conveyor.jam""],""score"":0.91,""severity"":""critical""}",True,2026-05-04T01:38:30.724410Z,budgeted_800k_s0_s1_s2,2026-05-04T01:38:31.046248Z,"{""anomalyType"":""jam"",""isAnomaly"":true}",2026-05-04T01:38:31.518,alert,2026-05-04T01:38:30.771896Z,edge-gateway-b-ubuntu,local-alert-service,"{""alertTimestamp"":""2026-05-04T01:38:31.116254Z"",""anomalyTimestamp"":""2026-05-04T01:38:31.051094Z"",""cloudReceivedTimestamp"":""2026-05-04T01:38:41.724329Z"",""deviceId"":""conveyor-009"",""deviceType"":""conveyor"",""edgeDetection"":{""anomalyType"":""jam"",""isAnomaly"":true,""matchedRules"":[""conveyor.jam""],""score"":0.91,""severity"":""critical""},""edgeReceivedTimestamp"":""2026-05-04T01:38:30.724410Z"",""experimentId"":""budgeted_800k_s0_s1_s2"",""filteredTimestamp"":""2026-05-04T01:38:31.046248Z"",""groundTruth"":{""anomalyType"":""jam"",""isAnomaly"":true},""messageType"":""alert"",""normalizedTimestamp"":""2026-05-04T01:38:30.771896Z"",""runId"":""s2_90_delay_200_rep2_full_20260504_013601"",""scenario"":""S2_HYBRID"",""sensorTimestamp"":""2026-01-01T00:00:55.255556Z"",""sequence"":50}",s2_90_delay_200_rep2_full_20260504_013601,S2_HYBRID,2026-01-01T00:00:55.255556Z,50
budgeted_800k_s0_s1_s2|S2_HYBRID|s2_90_delay_200_rep2_full_20260504_013601,alert|edge-gateway-b-ubuntu|local-alert-service|conveyor-009|000000000051|138545,2026-05-04T01:38:32.204013Z,2026-05-04T01:38:32.189301Z,2026-05-04T01:38:42.222292Z,conveyor-009,conveyor,jam,"{""anomalyType"":""jam"",""isAnomaly"":true,""matchedRules"":[""conveyor.jam""],""score"":0.91,""severity"":""critical""}",True,2026-05-04T01:38:31.865572Z,budgeted_800k_s0_s1_s2,2026-05-04T01:38:32.178317Z,"{""anomalyType"":""jam"",""isAnomaly"":true}",2026-05-04T01:38:32.909,alert,2026-05-04T01:38:31.873990Z,edge-gateway-b-ubuntu,local-alert-service,"{""alertTimestamp"":""2026-05-04T01:38:32.204013Z"",""anomalyTimestamp"":""2026-05-04T01:38:32.189301Z"",""cloudReceivedTimestamp"":""2026-05-04T01:38:42.222292Z"",""deviceId"":""conveyor-009"",""deviceType"":""conveyor"",""edgeDetection"":{""anomalyType"":""jam"",""isAnomaly"":true,""matchedRules"":[""conveyor.jam""],""score"":0.91,""severity"":""critical""},""edgeReceivedTimestamp"":""2026-05-04T01:38:31.865572Z"",""experimentId"":""budgeted_800k_s0_s1_s2"",""filteredTimestamp"":""2026-05-04T01:38:32.178317Z"",""groundTruth"":{""anomalyType"":""jam"",""isAnomaly"":true},""messageType"":""alert"",""normalizedTimestamp"":""2026-05-04T01:38:31.873990Z"",""runId"":""s2_90_delay_200_rep2_full_20260504_013601"",""scenario"":""S2_HYBRID"",""sensorTimestamp"":""2026-01-01T00:00:56.366667Z"",""sequence"":51}",s2_90_delay_200_rep2_full_20260504_013601,S2_HYBRID,2026-01-01T00:00:56.366667Z,51
budgeted_800k_s0_s1_s2|S2_HYBRID|s2_90_delay_200_rep2_full_20260504_013601,alert|edge-gateway-b-ubuntu|local-alert-service|conveyor-009|000000000052|138565,2026-05-04T01:38:33.322624Z,2026-05-04T01:38:33.303908Z,2026-05-04T01:38:42.745323Z,conveyor-009,conveyor,jam,"{""anomalyType"":""jam"",""isAnomaly"":true,""matchedRules"":[""conveyor.jam""],""score"":0.91,""severity"":""critical""}",True,2026-05-04T01:38:32.970023Z,budgeted_800k_s0_s1_s2,2026-05-04T01:38:33.292463Z,"{""anomalyType"":""jam"",""isAnomaly"":true}",2026-05-04T01:38:34.291,alert,2026-05-04T01:38:32.974708Z,edge-gateway-b-ubuntu,local-alert-service,"{""alertTimestamp"":""2026-05-04T01:38:33.322624Z"",""anomalyTimestamp"":""2026-05-04T01:38:33.303908Z"",""cloudReceivedTimestamp"":""2026-05-04T01:38:42.745323Z"",""deviceId"":""conveyor-009"",""deviceType"":""conveyor"",""edgeDetection"":{""anomalyType"":""jam"",""isAnomaly"":true,""matchedRules"":[""conveyor.jam""],""score"":0.91,""severity"":""critical""},""edgeReceivedTimestamp"":""2026-05-04T01:38:32.970023Z"",""experimentId"":""budgeted_800k_s0_s1_s2"",""filteredTimestamp"":""2026-05-04T01:38:33.292463Z"",""groundTruth"":{""anomalyType"":""jam"",""isAnomaly"":true},""messageType"":""alert"",""normalizedTimestamp"":""2026-05-04T01:38:32.974708Z"",""runId"":""s2_90_delay_200_rep2_full_20260504_013601"",""scenario"":""S2_HYBRID"",""sensorTimestamp"":""2026-01-01T00:00:57.477778Z"",""sequence"":52}",s2_90_delay_200_rep2_full_20260504_013601,S2_HYBRID,2026-01-01T00:00:57.477778Z,52
budgeted_800k_s0_s1_s2|S2_HYBRID|s2_90_delay_200_rep2_full_20260504_013601,alert|edge-gateway-b-ubuntu|local-alert-service|conveyor-009|000000000053|138580,2026-05-04T01:38:34.395018Z,2026-05-04T01:38:34.379231Z,2026-05-04T01:38:43.103907Z,conveyor-009,conveyor,jam,"{""anomalyType"":""jam"",""isAnomaly"":true,""matchedRules"":[""conveyor.jam""],""score"":0.91,""severity"":""critical""}",True,2026-05-04T01:38:34.066511Z,budgeted_800k_s0_s1_s2,2026-05-04T01:38:34.367544Z,"{""anomalyType"":""jam"",""isAnomaly"":true}",2026-05-04T01:38:35.338,alert,2026-05-04T01:38:34.071192Z,edge-gateway-b-ubuntu,local-alert-service,"{""alertTimestamp"":""2026-05-04T01:38:34.395018Z"",""anomalyTimestamp"":""2026-05-04T01:38:34.379231Z"",""cloudReceivedTimestamp"":""2026-05-04T01:38:43.103907Z"",""deviceId"":""conveyor-009"",""deviceType"":""conveyor"",""edgeDetection"":{""anomalyType"":""jam"",""isAnomaly"":true,""matchedRules"":[""conveyor.jam""],""score"":0.91,""severity"":""critical""},""edgeReceivedTimestamp"":""2026-05-04T01:38:34.066511Z"",""experimentId"":""budgeted_800k_s0_s1_s2"",""filteredTimestamp"":""2026-05-04T01:38:34.367544Z"",""groundTruth"":{""anomalyType"":""jam"",""isAnomaly"":true},""messageType"":""alert"",""normalizedTimestamp"":""2026-05-04T01:38:34.071192Z"",""runId"":""s2_90_delay_200_rep2_full_20260504_013601"",""scenario"":""S2_HYBRID"",""sensorTimestamp"":""2026-01-01T00:00:58.588889Z"",""sequence"":53}",s2_90_delay_200_rep2_full_20260504_013601,S2_HYBRID,2026-01-01T00:00:58.588889Z,53
budgeted_800k_s0_s1_s2|S2_HYBRID|s2_90_delay_200_rep2_full_20260504_013601,alert|edge-gateway-b-ubuntu|local-alert-service|conveyor-009|000000000054|138593,2026-05-04T01:38:35.417165Z,2026-05-04T01:38:35.406161Z,2026-05-04T01:38:43.413340Z,conveyor-009,conveyor,jam,"{""anomalyType"":""jam"",""isAnomaly"":true,""matchedRules"":[""conveyor.jam""],""score"":0.91,""severity"":""critical""}",True,2026-05-04T01:38:35.168238Z,budgeted_800k_s0_s1_s2,2026-05-04T01:38:35.402216Z,"{""anomalyType"":""jam"",""isAnomaly"":true}",2026-05-04T01:38:36.386,alert,2026-05-04T01:38:35.174272Z,edge-gateway-b-ubuntu,local-alert-service,"{""alertTimestamp"":""2026-05-04T01:38:35.417165Z"",""anomalyTimestamp"":""2026-05-04T01:38:35.406161Z"",""cloudReceivedTimestamp"":""2026-05-04T01:38:43.413340Z"",""deviceId"":""conveyor-009"",""deviceType"":""conveyor"",""edgeDetection"":{""anomalyType"":""jam"",""isAnomaly"":true,""matchedRules"":[""conveyor.jam""],""score"":0.91,""severity"":""critical""},""edgeReceivedTimestamp"":""2026-05-04T01:38:35.168238Z"",""experimentId"":""budgeted_800k_s0_s1_s2"",""filteredTimestamp"":""2026-05-04T01:38:35.402216Z"",""groundTruth"":{""anomalyType"":""jam"",""isAnomaly"":true},""messageType"":""alert"",""normalizedTimestamp"":""2026-05-04T01:38:35.174272Z"",""runId"":""s2_90_delay_200_rep2_full_20260504_013601"",""scenario"":""S2_HYBRID"",""sensorTimestamp"":""2026-01-01T00:00:59.700000Z"",""sequence"":54}",s2_90_delay_200_rep2_full_20260504_013601,S2_HYBRID,2026-01-01T00:00:59.700000Z,54
