experimentId,scenario,runId,deviceId,deviceType,sequence,sensorTimestamp,edgeReceivedTimestamp,normalizedTimestamp,filteredTimestamp,anomalyTimestamp,cloudReceivedTimestamp,temperature,vibration,rpm,current,load,pressure,flowRate,speed,motorCurrent,level,inletFlow,outletFlow,valveState,status,isAnomaly,anomalyType
budgeted_800k_s0_s1_s2,S0_CLOUD_ONLY,s0_90_normal_rep1_smoke_20260504_004509,motor-001,motor,1,2026-01-01T00:00:00.000000Z,,,,,,60.5999,0.3291,1437.8365,7.4347,43.8085,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S0_CLOUD_ONLY,s0_90_normal_rep1_smoke_20260504_004509,motor-002,motor,1,2026-01-01T00:00:00.011111Z,,,,,,63.1684,0.2665,1465.6089,7.6412,44.9316,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S0_CLOUD_ONLY,s0_90_normal_rep1_smoke_20260504_004509,motor-003,motor,1,2026-01-01T00:00:00.022222Z,,,,,,62.1642,0.2285,1449.8508,8.2331,58.6179,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S0_CLOUD_ONLY,s0_90_normal_rep1_smoke_20260504_004509,motor-004,motor,1,2026-01-01T00:00:00.033333Z,,,,,,61.638,0.2398,1464.8228,7.7679,47.3518,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S0_CLOUD_ONLY,s0_90_normal_rep1_smoke_20260504_004509,motor-005,motor,1,2026-01-01T00:00:00.044444Z,,,,,,61.3941,0.342,1448.781,8.7195,58.7954,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S0_CLOUD_ONLY,s0_90_normal_rep1_smoke_20260504_004509,motor-006,motor,1,2026-01-01T00:00:00.055556Z,,,,,,64.5127,0.3489,1437.1727,9.0244,66.4491,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S0_CLOUD_ONLY,s0_90_normal_rep1_smoke_20260504_004509,motor-007,motor,1,2026-01-01T00:00:00.066667Z,,,,,,58.2129,0.2236,1458.4467,8.8682,67.3657,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S0_CLOUD_ONLY,s0_90_normal_rep1_smoke_20260504_004509,motor-008,motor,1,2026-01-01T00:00:00.077778Z,,,,,,58.8973,0.2373,1430.8852,7.9244,47.6498,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S0_CLOUD_ONLY,s0_90_normal_rep1_smoke_20260504_004509,motor-009,motor,1,2026-01-01T00:00:00.088889Z,,,,,,58.5232,0.3231,1449.06,8.4781,59.4144,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S0_CLOUD_ONLY,s0_90_normal_rep1_smoke_20260504_004509,motor-010,motor,1,2026-01-01T00:00:00.100000Z,,,,,,60.0762,0.2767,1459.3915,8.8939,64.0036,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S0_CLOUD_ONLY,s0_90_normal_rep1_smoke_20260504_004509,motor-011,motor,1,2026-01-01T00:00:00.111111Z,,,,,,57.8297,0.2605,1441.1012,8.9477,66.6432,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S0_CLOUD_ONLY,s0_90_normal_rep1_smoke_20260504_004509,motor-012,motor,1,2026-01-01T00:00:00.122222Z,,,,,,61.8387,0.2003,1446.3838,9.2427,64.9698,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S0_CLOUD_ONLY,s0_90_normal_rep1_smoke_20260504_004509,motor-013,motor,1,2026-01-01T00:00:00.133333Z,,,,,,62.7724,0.2474,1464.4432,8.6246,63.5169,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S0_CLOUD_ONLY,s0_90_normal_rep1_smoke_20260504_004509,motor-014,motor,1,2026-01-01T00:00:00.144444Z,,,,,,57.5511,0.1996,1448.856,8.01,51.3574,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S0_CLOUD_ONLY,s0_90_normal_rep1_smoke_20260504_004509,motor-015,motor,1,2026-01-01T00:00:00.155556Z,,,,,,57.4496,0.1725,1463.5483,8.1826,47.6408,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S0_CLOUD_ONLY,s0_90_normal_rep1_smoke_20260504_004509,motor-016,motor,1,2026-01-01T00:00:00.166667Z,,,,,,57.3018,0.2987,1442.4824,8.456,61.7812,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S0_CLOUD_ONLY,s0_90_normal_rep1_smoke_20260504_004509,motor-017,motor,1,2026-01-01T00:00:00.177778Z,,,,,,64.2606,0.3069,1437.848,8.0502,55.7831,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S0_CLOUD_ONLY,s0_90_normal_rep1_smoke_20260504_004509,motor-018,motor,1,2026-01-01T00:00:00.188889Z,,,,,,62.2036,0.3514,1441.6856,9.3508,67.4507,,,,,,,,,NORMAL,False,
budgeted_800k_s0_s1_s2,S0_CLOUD_ONLY,s0_90_normal_rep1_smoke_20260504_004509,motor-019,motor,1,2026-01-01T00:00:00.200000Z,,,,,,64.2334,0.1511,1474.7415,7.6923,45.0738,,,,,,,,,NORMAL,False,
