experimentId,scenario,runId,deviceId,deviceType,sequence,sensorTimestamp,edgeReceivedTimestamp,normalizedTimestamp,filteredTimestamp,anomalyTimestamp,cloudReceivedTimestamp,temperature,vibration,rpm,current,load,pressure,flowRate,speed,motorCurrent,level,inletFlow,outletFlow,valveState,status,isAnomaly,anomalyType
phase1_exp_100_500mps,LOCAL_ONLY,exp_100_devices_500mps_rep1,motor-001,motor,1,2026-01-01T00:00:00.000000Z,,,,,,62.2619,0.2724,1446.3446,9.2979,68.9331,,,,,,,,,NORMAL,False,
phase1_exp_100_500mps,LOCAL_ONLY,exp_100_devices_500mps_rep1,motor-002,motor,1,2026-01-01T00:00:00.002000Z,,,,,,59.7308,0.2538,1451.8646,7.4021,47.3208,,,,,,,,,NORMAL,False,
phase1_exp_100_500mps,LOCAL_ONLY,exp_100_devices_500mps_rep1,motor-003,motor,1,2026-01-01T00:00:00.004000Z,,,,,,58.947,0.2717,1457.7183,8.1808,54.2928,,,,,,,,,NORMAL,False,
phase1_exp_100_500mps,LOCAL_ONLY,exp_100_devices_500mps_rep1,motor-004,motor,1,2026-01-01T00:00:00.006000Z,,,,,,56.9464,0.2924,1462.5662,7.727,45.888,,,,,,,,,NORMAL,False,
phase1_exp_100_500mps,LOCAL_ONLY,exp_100_devices_500mps_rep1,motor-005,motor,1,2026-01-01T00:00:00.008000Z,,,,,,62.6382,0.1895,1465.7001,8.8391,64.2298,,,,,,,,,NORMAL,False,
phase1_exp_100_500mps,LOCAL_ONLY,exp_100_devices_500mps_rep1,motor-006,motor,1,2026-01-01T00:00:00.010000Z,,,,,,59.8647,0.2295,1450.3092,8.1781,52.7735,,,,,,,,,NORMAL,False,
phase1_exp_100_500mps,LOCAL_ONLY,exp_100_devices_500mps_rep1,motor-007,motor,1,2026-01-01T00:00:00.012000Z,,,,,,58.6812,0.2545,1456.0226,8.3424,50.9154,,,,,,,,,NORMAL,False,
phase1_exp_100_500mps,LOCAL_ONLY,exp_100_devices_500mps_rep1,motor-008,motor,1,2026-01-01T00:00:00.014000Z,,,,,,58.8201,0.3378,1436.3532,8.9232,65.8387,,,,,,,,,NORMAL,False,
phase1_exp_100_500mps,LOCAL_ONLY,exp_100_devices_500mps_rep1,motor-009,motor,1,2026-01-01T00:00:00.016000Z,,,,,,64.2178,0.2709,1457.1395,7.9294,52.4026,,,,,,,,,NORMAL,False,
phase1_exp_100_500mps,LOCAL_ONLY,exp_100_devices_500mps_rep1,motor-010,motor,1,2026-01-01T00:00:00.018000Z,,,,,,60.5407,0.2201,1447.2839,8.474,58.3928,,,,,,,,,NORMAL,False,
phase1_exp_100_500mps,LOCAL_ONLY,exp_100_devices_500mps_rep1,motor-011,motor,1,2026-01-01T00:00:00.020000Z,,,,,,60.78,0.251,1463.4643,8.8499,65.0875,,,,,,,,,NORMAL,False,
phase1_exp_100_500mps,LOCAL_ONLY,exp_100_devices_500mps_rep1,motor-012,motor,1,2026-01-01T00:00:00.022000Z,,,,,,64.2172,0.1408,1444.5037,7.7757,47.1747,,,,,,,,,NORMAL,False,
phase1_exp_100_500mps,LOCAL_ONLY,exp_100_devices_500mps_rep1,motor-013,motor,1,2026-01-01T00:00:00.024000Z,,,,,,58.9563,0.2627,1453.5513,8.4434,53.4698,,,,,,,,,NORMAL,False,
phase1_exp_100_500mps,LOCAL_ONLY,exp_100_devices_500mps_rep1,motor-014,motor,1,2026-01-01T00:00:00.026000Z,,,,,,63.316,0.2039,1449.3612,8.2054,61.0046,,,,,,,,,NORMAL,False,
phase1_exp_100_500mps,LOCAL_ONLY,exp_100_devices_500mps_rep1,motor-015,motor,1,2026-01-01T00:00:00.028000Z,,,,,,57.6649,0.3736,1463.6372,8.4413,62.0708,,,,,,,,,NORMAL,False,
phase1_exp_100_500mps,LOCAL_ONLY,exp_100_devices_500mps_rep1,motor-016,motor,1,2026-01-01T00:00:00.030000Z,,,,,,61.8802,0.1521,1455.6888,7.5954,45.4583,,,,,,,,,NORMAL,False,
phase1_exp_100_500mps,LOCAL_ONLY,exp_100_devices_500mps_rep1,motor-017,motor,1,2026-01-01T00:00:00.032000Z,,,,,,60.1106,0.2385,1440.0462,8.4219,62.4323,,,,,,,,,NORMAL,False,
phase1_exp_100_500mps,LOCAL_ONLY,exp_100_devices_500mps_rep1,motor-018,motor,1,2026-01-01T00:00:00.034000Z,,,,,,64.0179,0.2508,1467.0944,7.8947,48.935,,,,,,,,,NORMAL,False,
phase1_exp_100_500mps,LOCAL_ONLY,exp_100_devices_500mps_rep1,motor-019,motor,1,2026-01-01T00:00:00.036000Z,,,,,,57.0476,0.2512,1447.3706,7.7206,48.1448,,,,,,,,,NORMAL,False,
phase1_exp_100_500mps,LOCAL_ONLY,exp_100_devices_500mps_rep1,motor-020,motor,1,2026-01-01T00:00:00.038000Z,,,,,,59.9513,0.2154,1446.749,7.9573,53.2248,,,,,,,,,NORMAL,False,
phase1_exp_100_500mps,LOCAL_ONLY,exp_100_devices_500mps_rep1,motor-021,motor,1,2026-01-01T00:00:00.040000Z,,,,,,59.1557,0.2873,1437.901,8.809,61.2421,,,,,,,,,NORMAL,False,
phase1_exp_100_500mps,LOCAL_ONLY,exp_100_devices_500mps_rep1,motor-022,motor,1,2026-01-01T00:00:00.042000Z,,,,,,61.8208,0.331,1449.1559,7.5544,40.3307,,,,,,,,,NORMAL,False,
phase1_exp_100_500mps,LOCAL_ONLY,exp_100_devices_500mps_rep1,motor-023,motor,1,2026-01-01T00:00:00.044000Z,,,,,,64.5641,0.2473,1456.6408,7.9053,45.7991,,,,,,,,,NORMAL,False,
phase1_exp_100_500mps,LOCAL_ONLY,exp_100_devices_500mps_rep1,motor-024,motor,1,2026-01-01T00:00:00.046000Z,,,,,,60.8055,0.2134,1444.6812,7.9886,48.6337,,,,,,,,,NORMAL,False,
phase1_exp_100_500mps,LOCAL_ONLY,exp_100_devices_500mps_rep1,motor-025,motor,1,2026-01-01T00:00:00.048000Z,,,,,,57.4031,0.184,1448.304,8.7151,61.5336,,,,,,,,,NORMAL,False,
phase1_exp_100_500mps,LOCAL_ONLY,exp_100_devices_500mps_rep1,motor-026,motor,1,2026-01-01T00:00:00.050000Z,,,,,,57.2397,0.2184,1464.1874,8.0186,51.0439,,,,,,,,,NORMAL,False,
phase1_exp_100_500mps,LOCAL_ONLY,exp_100_devices_500mps_rep1,motor-027,motor,1,2026-01-01T00:00:00.052000Z,,,,,,60.7694,0.273,1457.1884,8.5636,57.4747,,,,,,,,,NORMAL,False,
